kānh,kr̥ṣṇa
kāphal,kaṭphala
kābar,karbara
kām,karman
kāmī,karmika
kāyphal,kaṭphala
kāyar,kātara
kāl,kāla
kālviṭ,kālapr̥ṣṭha
kālā,kāla
kāliyā,kālaka
kālī,kālī̆ya
kās,kāśa
kiṭkiṭānā,kiṭakiṭāyate
kiṛkiṛānā,kiṭakiṭāyate
kin,kiṇa
kim,kim
kiyā,kr̥ta
kirkiṭī,kiri
kirkirānā,kiṭakiṭāyate
kirnā,kirati
kiryāt,kirātatikta
kirvān,kr̥pāṇa
kilasnā,kliśyate
killā,karī̆ra
killānā,kilakilāyati
kivāṛ,kavāṭa
kivāṛī,kapāṭikā
kisān,kr̥ṣāṇa
kīṭ,kiṭṭa
kīṛā,kīṭa
kīnnā,krīṇāti
kīl,kīla
kīlnā,kīlati
kīlā,kīlaka
kuṁjī,kuñcikā
kumbī,kuṭumbin
kuṁvār,kumāra
kuṁvārā,kumāra
ku-,ku
kuāṁ,kūpa
kuīṁ,kumudikā
kukroṁdā,kukkuramardaka
kukurmuttā,kukkura
kuṭ,kuṣṭha
kuṭnā,kuṭṭanī
kuṭnī,kuṭṭanī
kuṭhiyār,koṣṭhāgāra
kuṛmā,kuṭumba
kuṛī,kuṭī
kudāl,kuddāla
kudālī,kuddāla
kunbā,kuṭumba
kup,kūpya
kumhṛā,kuṣmāṇḍa
kumhār,kumbhakāra
kumhārī,kumbhakārikā
kuraṇḍ,kuruvinda
kurav,kuraba
kuriyā,kulikā
kuruvill,kuruvinda
kurm-mor,mayūra
kurmī,kuṭumbin
kul,kula
kulhāṛā,kuṭhāra
kulhāṛī,kuṭhāra
kusum,kusumbha
kuhnī,kaphoṇī
kūṁcā,kūrca
kūṁṛā,kuṇḍaka
kūṁṛī,kuṇḍikā
kūṁthnā,kunthati
kūkṛī,kurkura
kūkar,kurkura
kūcī,kūrca
kūṭnā,kuṭṭayati
kūṛā,kūṭa
kūdnā,kūrdati
kūmhal,kumbhila
kūr,krūra
kūl,kūla
kūlā,kulyā
kekṛā,karkaṭa
kelā,kadala
